DepartmentKey,Address,City,County,DepartmentName,DepartmentSpecialty,DepartmentType,PostalCode,CensusTract
1,1500 SW 10th ST,TOPEKA,*Unspecified,INITIAL DEPT,*Unspecified,,66604,20177003603.0
2,1979 Milky Way,VERONA,*Unspecified,EHS UM DEPT,*Unspecified,,53593,55025012700.0
3,1979 Milky Way,VERONA,*Unspecified,EHS CM DEPT,*Unspecified,,53593,55025012700.0
4,1979 Milky Way,VERONA,*Unspecified,EHS CLAIMS DEPT,*Unspecified,,53593,55025012700.0
5,1979 Milky Way,VERONA,*Unspecified,EHS PROVIDER DEPT,*Unspecified,,53593,55025012700.0
6,1979 Milky Way,VERONA,*Unspecified,EHS ENROLLMENT DEPT,*Unspecified,,53593,55025012700.0
7,1979 Milky Way,VERONA,*Unspecified,EHS PREMIUM BILL DEPT,*Unspecified,,53593,55025012700.0
8,1979 Milky Way,VERONA,*Unspecified,EHS CALL CENTER,Central Scheduling,,53593,55025012700.0
9,1979 Milky Way,VERONA,*Unspecified,EHS CUSTOMER SRV DEPT,*Unspecified,,53593,55025012700.0
10,1979 Milky Way,VERONA,*Unspecified,EHS CAPITATION DEPT,*Unspecified,,53593,55025012700.0
11,1979 Milky Way,VERONA,*Unspecified,EHS INTERPRETER SCHED,*Unspecified,,53593,55025012700.0
12,1979 Milky Way,VERONA,*Unspecified,EHS RESEARCH SUPPORT,*Unspecified,,53593,55025012700.0
13,1979 Milky Way,VERONA,*Unspecified,EHS EX INT REF LAB,*Unspecified,,53593,55025012700.0
14,1979 Milky Way,VERONA,*Unspecified,EHS EX NON-INT REF LAB,*Unspecified,,53593,55025012700.0
15,1979 Milky Way,VERONA,*Unspecified,EHS ROI DEPT,*Unspecified,,53593,55025012700.0
16,1979 Milky Way,VERONA,*Unspecified,EHS HOME HEALTH DEPT,Home Health Services,,53593,55025012700.0
17,1979 Milky Way,VERONA,*Unspecified,EHS HH HOSPICE,Hospice Services,,53593,55025012700.0
18,1979 Milky Way,VERONA,*Unspecified,EHS REFERENCE LAB,*Unspecified,,53593,55025012700.0
19,1979 Milky Way,VERONA,*Unspecified,EHS PUBLIC HEALTH LAB,*Unspecified,,53593,55025012700.0
20,1500 SW 10th Ave,Topeka,SHAWNEE,EMERGENCY DEPARTMENT,Emergency Medicine,ED,66604,20177003603.0
21,1500 SW 10th Ave,Topeka,SHAWNEE,CVOPC,*Unspecified,,66604,20177003603.0
22,1500 SW 10th Ave,Topeka,SHAWNEE,CRITICAL CARE-2SOUTH,*Unspecified,ICU,66604,20177003603.0
23,1500 SW 10th Ave,Topeka,SHAWNEE,CRITICAL CARE-PAVILION,Critical Care Medicine,ICU,66604,20177003603.0
24,1500 SW 10th Ave,Topeka,SHAWNEE,NIC,Neonatology,ICU,66604,20177003603.0
25,1500 SW 10th Ave,Topeka,SHAWNEE,JOINT CENTER,*Unspecified,,66604,20177003603.0
26,1500 SW 10th Ave,Topeka,SHAWNEE,SPINE CENTER,*Unspecified,,66604,20177003603.0
27,1500 SW 10th Ave,Topeka,SHAWNEE,BIRTHPLACE,Obstetrics,L&D,66604,20177003603.0
28,1500 SW 10th Ave,Topeka,SHAWNEE,POST-SURGICAL-4WEST,*Unspecified,,66604,20177003603.0
29,1500 SW 10th Ave,Topeka,SHAWNEE,NURSERY,*Unspecified,L&D,66604,20177003603.0
30,1500 SW 10th Ave,Topeka,SHAWNEE,PEDIATRICS,Pediatrics,HOD,66604,20177003603.0
31,1500 SW 10th Ave,Topeka,SHAWNEE,PICU,*Unspecified,ICU,66604,20177003603.0
32,1500 SW 10th Ave,Topeka,SHAWNEE,YOUNG ADULT CENTER,*Unspecified,,66604,20177003603.0
33,1500 SW 10th Ave,Topeka,SHAWNEE,5 NORTH,*Unspecified,,66604,20177003603.0
34,1500 SW 10th Ave,Topeka,SHAWNEE,6 NORTH,*Unspecified,,66604,20177003603.0
35,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,GERIPSYCH-6EAST,*Unspecified,,66604,20177003603.0
36,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,GERO-PSYCH-6WEST,*Unspecified,,66604,20177003603.0
37,1500 SW 10th Ave,Topeka,SHAWNEE,POST-SURGICAL-7 SOUTH,*Unspecified,,66604,20177003603.0
38,1500 SW 10th Ave,Topeka,SHAWNEE,7 NORTH,*Unspecified,,66604,20177003603.0
39,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,OP OBSERV UNIT,*Unspecified,,66604,20177003603.0
40,1500 SW 10th Ave,Topeka,SHAWNEE,3 PAVILION,*Unspecified,,66604,20177003603.0
41,1500 SW 10th Ave,Topeka,SHAWNEE,4 PAVILION,Hematology and Oncology,,66604,20177003603.0
42,3707 SW 6th Ave,Topeka,SHAWNEE,SVW-ADULT,*Unspecified,,66606,20177000500.0
43,3707 SW 6th Ave,Topeka,SHAWNEE,SVW-CHILD/ADOLESCENT,*Unspecified,,66606,20177000500.0
44,1500 SW 10th Ave,Topeka,SHAWNEE,ENDOSCOPY,Gastroenterology,HOD,66604,20177003603.0
45,823 SW Mulvane Ste 101,Topeka,SHAWNEE,PAIN CLINIC,Pain Medicine,HOD,66606,20177000500.0
46,1500 SW 10TH AVE,TOPEKA,SHAWNEE,CENTRAL PHARMACY,Pharmacy,,66604,20177003603.0
47,1414 SW 8th Ave,TOPEKA,SHAWNEE,CO CANCER PHARMACY,Pharmacy,,66606,20177000500.0
48,1500 SW 10th Ave,Topeka,SHAWNEE,PRE-POST,*Unspecified,OR,66604,20177003603.0
49,1500 SW 10th Ave,Topeka,SHAWNEE,PACU,*Unspecified,OR,66604,20177003603.0
50,1500 SW 10th Ave,Topeka,SHAWNEE,BREASTFEEDING CENTER,*Unspecified,HOD,66606,20177000500.0
51,929 SW Mulvane,Topeka,SHAWNEE,CARDIAC REHAB HC,Cardiac Rehabilitation,HOD,66606,20177000500.0
52,929 SW Mulvane,Topeka,SHAWNEE,SV HEART CENTER CARDIAC ULTRASOUND,Radiology,HOD,66606,20177000500.0
53,,Topeka,SHAWNEE,CARDIOVASCULAR SERV,*Unspecified,HOD,,
54,1500 SW 10th Ave,Topeka,SHAWNEE,CT SCAN,Radiology,HOD,66604,20177003603.0
55,,Topeka,SHAWNEE,ECT,*Unspecified,HOD,,
56,,Topeka,SHAWNEE,JUV RHEUM ARTH CLINIC,Rheumatology,,,
57,1500 SW 10th Ave,TOPEKA,SHAWNEE,LABORATORY,Lab,Normal,66606,20177000500.0
58,1500 SW 10th Ave,Topeka,SHAWNEE,MRI,Radiology,HOD,66604,20177003603.0
59,,Topeka,SHAWNEE,MULTIPLE TESTS,*Unspecified,HOD,,
60,,Topeka,SHAWNEE,NICU DEV PROG CLINIC,*Unspecified,HOD,,
61,,Topeka,SHAWNEE,NICU FOLLOW UP CLINIC,Neonatology,,,
62,929 SW Mulvane St,Topeka,SHAWNEE,SV HEART CENTER NUCLEAR CARDIOLOGY,Radiology,HOD,66606,20177000500.0
63,1500 SW 10th Ave,TOPEKA,SHAWNEE,NUCLEAR MEDICINE,Radiology,HOD,66604,20177003603.0
64,,Topeka,SHAWNEE,OSTOMY,*Unspecified,HOD,,
65,,Topeka,SHAWNEE,PARKINSONS CLINIC,*Unspecified,HOD,,
66,3707 SW 6th Ave,TOPEKA,SHAWNEE,PARTIAL DAY PSYCH,Psychiatry,HOD,66606,20177000500.0
67,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,PHYSICAL MEDICINE,Physical Medicine and Rehabilitation,HOD,,
68,1500 SW 10th Ave,TOPEKA,SHAWNEE,PRE-ADMISSION TESTING,Pre-Admission Testing,OR,66604,20177003603.0
69,1500 SW 10th Ave,TOPEKA,SHAWNEE,PULMONARY LAB,Pulmonology,HOD,66604,20177003603.0
70,1500 SW 10th Ave,Topeka,SHAWNEE,RADIOLOGY,Radiology,HOD,66606,20177000500.0
71,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,SR PARTIAL HOSP PROG,*Unspecified,HOD,,
72,920 SW Washburn Ave 340B00935100SV,Topeka,SHAWNEE,SLEEP LAB,*Unspecified,HOD,,
73,1615 SW 8th Avenue,Topeka,SHAWNEE,SLEEP CENTER,Sleep Medicine,HOD,66606,20177000500.0
74,1500 SW 10th Ave,Topeka,SHAWNEE,ULTRASOUND,Radiology,HOD,66604,20177003603.0
75,1500 SW 10th Street,Topeka,SHAWNEE,WOUND CARE CENTER,Wound Care,,66604,20177003603.0
76,1500 SW 10th Ave,Topeka,SHAWNEE,SURGERY,*Unspecified,OR,66606,20177000500.0
77,,Topeka,SHAWNEE,OPL CRIT CARE-2 SOUTH,*Unspecified,HOD,,
78,,Topeka,SHAWNEE,OPL JOINT CENTER-3EAST,*Unspecified,HOD,,
79,,Topeka,SHAWNEE,OPL 5 EAST (PEDS),*Unspecified,HOD,,
80,,Topeka,SHAWNEE,OPL 5 NORTH,*Unspecified,HOD,,
81,,Topeka,SHAWNEE,OPL 6 NORTH,*Unspecified,HOD,,
82,,Topeka,SHAWNEE,OPL GERO-PSYCH-6WEST,*Unspecified,HOD,,
83,,Topeka,SHAWNEE,OPL POST-SURG-7 WEST,*Unspecified,HOD,,
84,,Topeka,SHAWNEE,OPL 7 NORTH,*Unspecified,HOD,,
85,,Topeka,SHAWNEE,OPL BIRTHPLACE,*Unspecified,L&D,,
86,,Topeka,SHAWNEE,OPL CVOPC,*Unspecified,HOD,,
87,,Topeka,SHAWNEE,OPL PICU,*Unspecified,HOD,,
88,2660 SW 3rd Street Suite 002,Topeka,SHAWNEE,SDS,*Unspecified,OR,66606,20177000500.0
89,1500 SW 10th Ave,Topeka,SHAWNEE,CATH LAB,Radiology,HOD,66606,20177000500.0
90,1500 SW 10th AVE,Topeka,SHAWNEE,EP LAB,Radiology,HOD,66606,20177000500.0
91,1500 SW 10th Ave,Topeka,SHAWNEE,INTERVENTIONAL RADIOLOGY,Radiology,HOD,66604,20177003603.0
92,1500 SW 10th Ave,Topeka,SHAWNEE,CARDIOVASCULAR ULTRASOUND,Radiology,HOD,66604,20177003603.0
93,,,*Unspecified,CHAPLAIN,*Unspecified,,,
94,,,*Unspecified,CLINICAL PERFORMANCE IMPROVEMENT,*Unspecified,,,
95,,,*Unspecified,CLINICAL RESEARCH,*Unspecified,,,
96,1500 SW 10th AVE 340B00935100SV,,*Unspecified,DIABETES MANAGEMENT,*Unspecified,,,
97,1500 SW 10th Ave,Topeka,*Unspecified,STORMONT-VAIL HOSPITAL,*Unspecified,,66604,20177003603.0
98,1500 SW 10th Ave,TOPEKA,SHAWNEE,INFECTION CONTROL,*Unspecified,,66604,20177003603.0
99,,,*Unspecified,INFORMATION SYSTEMS,*Unspecified,,,
100,1500 SW 10 Ave,,*Unspecified,IV THERAPY,*Unspecified,HOD,,
101,,,*Unspecified,NUTRITIONAL SERVICES,Nutrition,,,
102,,,*Unspecified,PALLIATIVE MEDICINE,*Unspecified,,,
103,,,*Unspecified,PFS SCHEDULING,*Unspecified,,,
104,1500 SW 10th Ave,,*Unspecified,RESPIRATORY SERVICES,Respiratory Therapy,,,
105,,,*Unspecified,SOCIAL SERVICES,Case Management,,,
106,,,*Unspecified,CASE MANAGEMENT,Case Management,,,
107,1500 SW 10th Ave,Topeka,SHAWNEE,ACUTE CARE PT,Physical Therapy,HOD,66604,20177003603.0
108,1500 SW 10th Ave,Topeka,SHAWNEE,ACUTE CARE OT,Occupational Therapy,HOD,66604,20177003603.0
109,1500 SW 10th Ave,Topeka,SHAWNEE,ACUTE CARE SLP,Speech Therapy,HOD,66604,20177003603.0
110,1500 SW 10th Ave,Topeka,SHAWNEE,STRESS TEST,*Unspecified,HOD,66604,20177003603.0
111,1500 SW 10th Ave,Topeka,SHAWNEE,WOMEN'S CENTER,*Unspecified,HOD,66604,20177003603.0
112,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,INFUSION CENTER SERIES,*Unspecified,HOD,66604,20177003603.0
113,1500 SW 10th Ave,Topeka,SHAWNEE,NEUROLOGY,Neurology,HOD,66604,20177003603.0
114,1500 SW 10th Ave,Topeka,SHAWNEE,CENTRAL SUPPLY,*Unspecified,,66604,20177003603.0
115,1500 SW 10th Ave,Topeka,SHAWNEE,PSYCH ASSESSMENT,*Unspecified,HOD,66604,20177003603.0
116,"909 Mulvane St Lower Level, Infusion Center",Topeka,SHAWNEE,ENTEROSTOMAL THERAPY,*Unspecified,HOD,66604,20177003603.0
117,,CARBONDALE,OSAGE,CARBONDALE OT,*Unspecified,HOD,66414,20139010100.0
118,- 340B00935100SV,,*Unspecified,ST OUTPATIENT CTR,*Unspecified,,,
119,1500 SW 10th Ave,Topeka,*Unspecified,HEALTH INFO MGM,*Unspecified,,66604,20177003603.0
120,1500 SW 10th Ave,Topeka,SHAWNEE,PROCEDURE RADIOLOGY,*Unspecified,,66604,20177003603.0
121,1500 SW 10th Ave,Topeka,SHAWNEE,PERIOP SERVICES,*Unspecified,OR,66604,20177003603.0
122,1500 SW 10th Ave,Topeka,SHAWNEE,ANESTHESIA,Anesthesiology,,66604,20177003603.0
123,1500 SW 10th Ave,Topeka,SHAWNEE,PREREGISTRATION - HSD,Central Scheduling,,66604,20177003603.0
124,1500 SW 10th Ave,Topeka,SHAWNEE,MAIN REGISTRATION,*Unspecified,,66604,20177003603.0
125,920 SW Lane St Ste 200,Topeka,SHAWNEE,EXCELLENT PRE-POST,Otolaryngology,OR,66606,20177000500.0
126,920 SW Lane St Ste 200,TOPEKA,SHAWNEE,EXCELLENT OR,Otolaryngology,OR,66606,20177000500.0
127,1500 SW 10th Ave,Topeka,SHAWNEE,EP HEART CENTER,*Unspecified,,66606,20177000500.0
128,1500 SW 10th Ave,Topeka,SHAWNEE,MF ULTRASOUND,Radiology,HOD,66606,20177000500.0
129,1500 SW 10th Ave,Topeka,SHAWNEE,BIRTHPLACE PROCEDURES,Obstetrics,HOD,66606,20177000500.0
130,1500 SW 10th Ave,Topeka,SHAWNEE,PFS BILLING OFFICE,*Unspecified,,66606,20177000500.0
131,1500 SW 10th Ave,Topeka,SHAWNEE,INTERMEDIATE CARE,*Unspecified,,66604,20177003603.0
132,1500 SW 10th Ave,Topeka,SHAWNEE,FLEMING OUTPATIENT THERAPY,Physical Therapy,HOD,66604,20177003603.0
133,1500 SW 10th Ave,Topeka,SHAWNEE,CKF DEPARTMENT,Emergency Medicine,,66604,20177003603.0
134,1501 SW 10th Ave,Topeka,SHAWNEE,ANESTHESIA PAIN CLINIC,Pain Medicine,HOD,66604,20177003603.0
135,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,TRAUMA CRITICAL CARE,*Unspecified,ICU,66604,20177003603.0
136,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV LAB - BLOOD BANK,*Unspecified,,,
137,,,*Unspecified,SV LAB - BLOOD PROCESSING,*Unspecified,,,
138,,,*Unspecified,SV LAB - HEMATOLOGY,*Unspecified,,,
