Domain,Exposed_N,Exposed_Readmit_Rate,Not_Exposed_Rate,Relative_Risk,Chi2,P_Value,Significant
social connections,16353,15.214333761389348,7.462185741572454,2.038857553039592,783.5211562276927,2.06492778286292e-172,True
Alcohol Use,16811,14.99018499791803,7.46787169574757,2.007290110039503,749.4346666234399,5.325071775231414e-165,True
physical activity,17100,14.906432748538013,7.44834846690354,2.0013071105325153,743.6997943813287,9.40374339849375e-164,True
stress,17374,14.849775526649015,7.420269876196284,2.0012446682412555,744.433234029905,6.5136272126962624e-164,True
Utilities,17305,14.810748338630454,7.451706800740937,1.9875645586535682,728.7996083162876,1.633871774437676e-160,True
intimate partner violance,19795,13.826723920181863,7.484419263456091,1.8474010385405744,578.3607333300239,8.524235840368808e-128,True
Housing Stability,20222,13.648501631886065,7.510108106558082,1.8173508873950468,546.7444816859643,6.429858643536923e-121,True
Financial Resource Strain,21523,13.125493657947313,7.6075300845943055,1.7253291820070757,452.6388382611108,1.9223614459000185e-100,True
Food insecurity,21570,13.10152990264256,7.615212527964206,1.720441793913403,447.8080849001335,2.1634134094276544e-99,True
Transportation Needs,21590,13.098656785548865,7.613788986718401,1.7203861058401204,447.7192597271015,2.2618851266175536e-99,True
Depression,4032,6.746031746031746,10.001370855609737,0.6745107089242589,44.58167542719017,2.4396437659534437e-11,True
